CD_MUN,lp_adequado,mt_adequado,lp_insuficiente,lp_basico,lp_proficiente,lp_avancado,mt_insuficiente,mt_basico,mt_proficiente,mt_avancado,ideb
3508207,0.1818,0.0303,0.3333,0.4848,0.1818,0.0,0.606,0.3636,0.0303,0.0,4.4
3508306,0.4548,0.0913,0.2433,0.3019,0.4409,0.0139,0.43,0.4787,0.0774,0.0139,4.5
3508306,0.4548,0.0913,0.2433,0.3019,0.4409,0.0139,0.43,0.4787,0.0774,0.0139,4.5
3508405,0.4149,0.0765,0.2054,0.3798,0.4009,0.014,0.4257,0.4977,0.0728,0.0037,4.7
3508405,0.4149,0.0765,0.2054,0.3798,0.4009,0.014,0.4257,0.4977,0.0728,0.0037,4.7
3508504,0.4536,0.07,0.2048,0.3416,0.4519,0.0017,0.3973,0.5327,0.0647,0.0053,4.8
3508504,0.4536,0.07,0.2048,0.3416,0.4519,0.0017,0.3973,0.5327,0.0647,0.0053,4.8
3508603,0.3452,0.0289,0.2492,0.4056,0.3379,0.0073,0.4303,0.5408,0.0289,0.0,4.4
3508603,0.3452,0.0289,0.2492,0.4056,0.3379,0.0073,0.4303,0.5408,0.0289,0.0,4.4
3508702,0.2994,0.0349,0.3159,0.3847,0.2906,0.0088,0.5501,0.415,0.0349,0.0,4.3
3508702,0.2994,0.0349,0.3159,0.3847,0.2906,0.0088,0.5501,0.415,0.0349,0.0,4.3
3508801,0.3023,0.0326,0.26,0.4377,0.2945,0.0078,0.5255,0.442,0.0326,0.0,4.4
3508801,0.3023,0.0326,0.26,0.4377,0.2945,0.0078,0.5255,0.442,0.0326,0.0,4.4
3508900,,,,,,,,,,,
3508900,,,,,,,,,,,
3509007,0.4004,0.0287,0.2431,0.3565,0.3911,0.0093,0.518,0.4533,0.0276,0.0011,4.6
3509007,0.4004,0.0287,0.2431,0.3565,0.3911,0.0093,0.518,0.4533,0.0276,0.0011,4.6
3509106,0.2962,0.038,0.4895,0.2144,0.2962,0.0,0.569,0.393,0.038,0.0,4.4
3509106,0.2962,0.038,0.4895,0.2144,0.2962,0.0,0.569,0.393,0.038,0.0,4.4
3509205,0.3703,0.0418,0.3018,0.3279,0.3593,0.011,0.5404,0.4179,0.0354,0.0064,4.5
3509205,0.3703,0.0418,0.3018,0.3279,0.3593,0.011,0.5404,0.4179,0.0354,0.0064,4.5
3509254,0.2934,0.0339,0.3647,0.3418,0.2934,0.0,0.5925,0.3736,0.0339,0.0,4.1
3509254,0.2934,0.0339,0.3647,0.3418,0.2934,0.0,0.5925,0.3736,0.0339,0.0,4.1
3509304,0.4267,0.0919,0.2387,0.3347,0.413,0.0137,0.3388,0.5693,0.0919,0.0,4.9
3509304,0.4267,0.0919,0.2387,0.3347,0.413,0.0137,0.3388,0.5693,0.0919,0.0,4.9
3509403,0.2152,0.0387,0.4129,0.3719,0.2152,0.0,0.5556,0.4057,0.0387,0.0,4.1
3509403,0.2152,0.0387,0.4129,0.3719,0.2152,0.0,0.5556,0.4057,0.0387,0.0,4.1
3509452,0.1744,0.032,0.3964,0.4292,0.1424,0.032,0.6374,0.3306,0.032,0.0,4.2
3509452,0.1744,0.032,0.3964,0.4292,0.1424,0.032,0.6374,0.3306,0.032,0.0,4.2
3509502,0.3996,0.0845,0.26,0.3403,0.3827,0.0169,0.4976,0.418,0.0772,0.0073,
3509502,0.3996,0.0845,0.26,0.3403,0.3827,0.0169,0.4976,0.418,0.0772,0.0073,4.5
3509502,0.3996,0.0845,0.26,0.3403,0.3827,0.0169,0.4976,0.418,0.0772,0.0073,4.6
3509601,0.3564,0.0599,0.2672,0.3764,0.3478,0.0086,0.5368,0.4034,0.0501,0.0098,4.4
3509601,0.3564,0.0599,0.2672,0.3764,0.3478,0.0086,0.5368,0.4034,0.0501,0.0098,4.4
3509700,0.5485,0.1776,0.1308,0.3207,0.5023,0.0462,0.3113,0.5111,0.1776,0.0,
3509700,0.5485,0.1776,0.1308,0.3207,0.5023,0.0462,0.3113,0.5111,0.1776,0.0,4.3
3509700,0.5485,0.1776,0.1308,0.3207,0.5023,0.0462,0.3113,0.5111,0.1776,0.0,4.9
3509809,0.2995,0.0612,0.2657,0.4348,0.2995,0.0,0.4501,0.4887,0.0612,0.0,4.6
3509809,0.2995,0.0612,0.2657,0.4348,0.2995,0.0,0.4501,0.4887,0.0612,0.0,4.6
3509908,0.3319,0.0,0.3079,0.3603,0.3319,0.0,0.5113,0.4886,0.0,0.0,3.9
3509908,0.3319,0.0,0.3079,0.3603,0.3319,0.0,0.5113,0.4886,0.0,0.0,3.9
3509957,0.1574,0.0,0.3441,0.4984,0.1574,0.0,0.5276,0.4724,0.0,0.0,3.9
3509957,0.1574,0.0,0.3441,0.4984,0.1574,0.0,0.5276,0.4724,0.0,0.0,3.9
3510005,0.3319,0.0377,0.3474,0.3207,0.3225,0.0094,0.5553,0.4071,0.0377,0.0,4.4
3510005,0.3319,0.0377,0.3474,0.3207,0.3225,0.0094,0.5553,0.4071,0.0377,0.0,4.4
3510104,,,,,,,,,,,
3510104,,,,,,,,,,,
3510153,,,,,,,,,,,
3510153,,,,,,,,,,,
3510203,0.3949,0.065,0.2892,0.316,0.3899,0.005,0.4904,0.4446,0.0591,0.0059,4.6
3510203,0.3949,0.065,0.2892,0.316,0.3899,0.005,0.4904,0.4446,0.0591,0.0059,4.6
3510302,,,,,,,,,,,
3510302,,,,,,,,,,,
3510401,0.4538,0.1258,0.171,0.3753,0.3698,0.084,0.3625,0.5116,0.109,0.0168,
3510401,0.4538,0.1258,0.171,0.3753,0.3698,0.084,0.3625,0.5116,0.109,0.0168,4.7
3510401,0.4538,0.1258,0.171,0.3753,0.3698,0.084,0.3625,0.5116,0.109,0.0168,5.0
3510500,0.4031,0.0502,0.2764,0.3206,0.3911,0.012,0.4979,0.4519,0.049,0.0012,
3510500,0.4031,0.0502,0.2764,0.3206,0.3911,0.012,0.4979,0.4519,0.049,0.0012,4.5
3510500,0.4031,0.0502,0.2764,0.3206,0.3911,0.012,0.4979,0.4519,0.049,0.0012,4.5
3510609,0.3549,0.0341,0.2674,0.3776,0.349,0.0059,0.555,0.4109,0.0319,0.0022,4.4
3510609,0.3549,0.0341,0.2674,0.3776,0.349,0.0059,0.555,0.4109,0.0319,0.0022,4.4
3510708,0.2963,0.0732,0.2574,0.4463,0.2963,0.0,0.5824,0.3445,0.0732,0.0,4.5
3510708,0.2963,0.0732,0.2574,0.4463,0.2963,0.0,0.5824,0.3445,0.0732,0.0,4.5
3510807,0.3479,0.032,0.2603,0.3918,0.3363,0.0116,0.5131,0.4549,0.0257,0.0063,4.3
3510807,0.3479,0.032,0.2603,0.3918,0.3363,0.0116,0.5131,0.4549,0.0257,0.0063,4.3
3510906,0.381,0.1429,0.2381,0.381,0.381,0.0,0.4762,0.381,0.1429,0.0,5.0
3510906,0.381,0.1429,0.2381,0.381,0.381,0.0,0.4762,0.381,0.1429,0.0,5.0
3511003,0.2536,0.0302,0.3495,0.3969,0.2415,0.0121,0.6343,0.3355,0.0245,0.0057,4.2
3511003,0.2536,0.0302,0.3495,0.3969,0.2415,0.0121,0.6343,0.3355,0.0245,0.0057,4.2
3511102,0.4926,0.1276,0.1936,0.3137,0.4583,0.0343,0.3649,0.5074,0.1136,0.014,
3511102,0.4926,0.1276,0.1936,0.3137,0.4583,0.0343,0.3649,0.5074,0.1136,0.014,4.9
3511102,0.4926,0.1276,0.1936,0.3137,0.4583,0.0343,0.3649,0.5074,0.1136,0.014,5.1
3511201,0.3952,0.0704,0.2756,0.3291,0.3952,0.0,0.5184,0.4112,0.0561,0.0143,4.5
3511201,0.3952,0.0704,0.2756,0.3291,0.3952,0.0,0.5184,0.4112,0.0561,0.0143,4.5
3511300,0.5393,0.0399,0.0896,0.371,0.5393,0.0,0.4324,0.5278,0.0255,0.0144,4.5
3511300,0.5393,0.0399,0.0896,0.371,0.5393,0.0,0.4324,0.5278,0.0255,0.0144,4.5
3511409,0.3288,0.0385,0.3269,0.3444,0.3288,0.0,0.607,0.3545,0.0385,0.0,4.2
3511409,0.3288,0.0385,0.3269,0.3444,0.3288,0.0,0.607,0.3545,0.0385,0.0,4.2
3511508,0.4045,0.072,0.2271,0.3685,0.3986,0.0059,0.3963,0.5317,0.0658,0.0062,4.8
3511508,0.4045,0.072,0.2271,0.3685,0.3986,0.0059,0.3963,0.5317,0.0658,0.0062,4.8
3511607,0.2891,0.0358,0.2275,0.4831,0.2752,0.0139,0.5374,0.4269,0.0358,0.0,4.3
3511607,0.2891,0.0358,0.2275,0.4831,0.2752,0.0139,0.5374,0.4269,0.0358,0.0,4.3
3511706,0.3912,0.0478,0.2579,0.3508,0.3853,0.0059,0.5476,0.4046,0.0478,0.0,4.4
3511706,0.3912,0.0478,0.2579,0.3508,0.3853,0.0059,0.5476,0.4046,0.0478,0.0,4.4
3511904,0.4506,0.0607,0.2609,0.2887,0.4359,0.0147,0.4245,0.5148,0.0607,0.0,4.8
3511904,0.4506,0.0607,0.2609,0.2887,0.4359,0.0147,0.4245,0.5148,0.0607,0.0,4.8
3512001,0.1574,0.0071,0.5063,0.3362,0.1574,0.0,0.6393,0.3536,0.0071,0.0,3.7
3512001,0.1574,0.0071,0.5063,0.3362,0.1574,0.0,0.6393,0.3536,0.0071,0.0,5.0
3512001,0.1574,0.0071,0.5063,0.3362,0.1574,0.0,0.6393,0.3536,0.0071,0.0,3.9
3512100,0.2751,0.0227,0.2736,0.4514,0.2751,0.0,0.5368,0.4405,0.0227,0.0,4.1
3512100,0.2751,0.0227,0.2736,0.4514,0.2751,0.0,0.5368,0.4405,0.0227,0.0,4.1
3512209,0.4206,0.0977,0.1783,0.4011,0.4164,0.0042,0.3387,0.5636,0.094,0.0037,5.0
3512209,0.4206,0.0977,0.1783,0.4011,0.4164,0.0042,0.3387,0.5636,0.094,0.0037,5.0
3512308,0.2309,0.0,0.3608,0.4082,0.2309,0.0,0.6374,0.3626,0.0,0.0,4.1
3512308,0.2309,0.0,0.3608,0.4082,0.2309,0.0,0.6374,0.3626,0.0,0.0,4.1
3512407,0.4882,0.1064,0.1235,0.3883,0.4665,0.0217,0.2799,0.6137,0.1011,0.0053,4.6
3512407,0.4882,0.1064,0.1235,0.3883,0.4665,0.0217,0.2799,0.6137,0.1011,0.0053,4.6
